"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris"
"63098","URN:CornellLabOfOrnithology:EBIRD:OBS801827030","2021-03-25 04:52:06.254761",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Olinda--Espaço Ciência","L9880142","H",-8.0369403,-34.8700265,"2019-09-05","11:31:00","obsr605308","S59533932","Traveling","P22","EBIRD",74,2,NA,1,1,"",0,1,0,"","","",3230,23,0
"63099","URN:CornellLabOfOrnithology:EBIRD:OBS806293879","2021-03-17 19:57:13.222055",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","5","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Recife--UFPE","L7899926","H",-8.051146,-34.9513874,"2019-09-16","16:55:00","obsr155017","S59857313","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,"","On campus","",3231,10,0
"63100","URN:CornellLabOfOrnithology:EBIRD:OBS803858161","2020-09-23 11:05:34",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Parque Estadual de Dois Irmãos","L1525514","H",-8.0105639,-34.9473989,"2019-09-10","12:27:00","obsr605308","S59681120","Traveling","P22","EBIRD",203,2,NA,1,1,"",0,1,0,"","","",3232,37,0
"63101","URN:CornellLabOfOrnithology:EBIRD:OBS801824435","2021-03-31 16:03:06.353309",34090,"species","avibase-FA9420B4","Bicolored Conebill","Conirostrum bicolor","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Jaboatão dos Guararapes--Lagoa Olho D'Água","L9880101","H",-8.2004598,-34.945821,"2019-09-04","11:36:00","obsr605308","S59533767","Traveling","P22","EBIRD",55,4,NA,1,1,"",0,1,0,"","","",3233,22,0
"63103","URN:CornellLabOfOrnithology:EBIRD:OBS806979647","2021-12-22 21:04:38.652257",4271,"species","avibase-EFBDAE18","Black-eared Fairy","Heliothryx auritus","","","","1","","","","Female, Adult (1)","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas","L3628125","H",-8.6963418,-35.8592033,"2019-09-18","11:30:00","obsr677024","S59914744","Historical","P62","EBIRD",240,NA,NA,2,1,"",0,1,0,"","","",3234,55,0
"63104","URN:CornellLabOfOrnithology:EBIRD:OBS806018935","2019-12-22 05:41:51",5626,"species","avibase-D543132B","Black-necked Stilt","Himantopus mexicanus","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Lagoas de Petrolina","L9089051","H",-9.3227778,-40.4597222,"2019-09-15","05:35:00","obsr615575","S59837883","Traveling","P22","EBIRD_BRA",140,1,NA,3,1,"",0,1,0,"","","Pernilongo-de-costas-negras (Himantopus mexicanus)",3235,15,0
"63118","URN:CornellLabOfOrnithology:EBIRD:OBS806128816","2022-03-08 08:56:34.536566",7412,"species","avibase-4FF7DE80","Black Vulture","Coragyps atratus","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Barra do Sirinhaém--Mariaçu","L17994939","H",-8.6720348,-35.0919771,"2019-09-12","06:38:00","obsr605308","S59851172","Traveling","P22","EBIRD",136,2,NA,1,1,"",0,1,0,"","","",3237,31,0
"63121","URN:CornellLabOfOrnithology:EBIRD:OBS806133725","2022-03-08 08:57:00.58017",7412,"species","avibase-4FF7DE80","Black Vulture","Coragyps atratus","","","","7","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Barra do Sirinhaém--Mariaçu","L17994939","H",-8.6720348,-35.0919771,"2019-09-13","06:47:00","obsr605308","S59851524","Traveling","P22","EBIRD",153,3,NA,1,1,"",0,1,0,"","","",3238,42,0
"63135","URN:CornellLabOfOrnithology:EBIRD:OBS932914901","2020-05-27 15:00:36",33662,"species","avibase-99CA86E3","Brazilian Tanager","Ramphocelus bresilius","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas--Jardim dos beija-flores","L6490085","H",-8.693673,-35.856795,"2019-09-08","11:22:00","obsr922152","S69722879","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","","",3239,7,0
"63138","URN:CornellLabOfOrnithology:EBIRD:OBS809408887","2020-08-17 18:06:54",8213,"issf","avibase-88222CA2","Barn Owl","Tyto alba","Barn Owl (American)","Tyto alba [tuidara Group]","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Parque Monsenhor Paulo Cremildo Batista de Oliveira","L9955383","H",-8.197721,-35.5573205,"2019-09-24","19:00:00","obsr605308","S60097897","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","","",3241,1,0
